,Household level identifier,Target,=1 Overcrowding by bedrooms,=1 Overcrowding by rooms,=1 has toilet in the household,=1 if the household has refrigerator,=1 if predominant material on the outside wall is block or brick,"=1 if predominant material on the outside wall is socket (wood, zinc or absbesto",=1 if predominant material on the outside wall is prefabricated or cement,=1 if predominant material on the floor is cement,=1 if predominant material on the outside wall is waste material,=1 if predominant material on the outside wall is wood ,=1 if predominant material on the outside wall is zink,=1 if predominant material on the outside wall is natural fibers,=1 if predominant material on the outside wall is other,"=1 if predominant material on the floor is mosaic, ceramic, terrazo",=1 if predominant material on the floor is other,=1 if predominant material on the floor is  natural material,=1 if no floor at the household,=1 if predominant material on the floor is wood,=1 if predominant material on the roof is metal foil or zink,"=1 if predominant material on the roof is fiber cement, mezzanine ",=1 if predominant material on the roof is natural fibers,=1 if predominant material on the roof is other,=1 if the house has ceiling,=1 if water provision inside the dwelling,=1 if water provision outside the dwelling,=1 if no water provision,=1 no toilet in the dwelling,=1 toilet connected to sewer or cesspool,=1 toilet connected to  septic tank,=1 toilet connected to black hole or letrine,=1 toilet connected to other system,=1 no main source of energy used for cooking (no kitchen),=1 main source of energy used for cooking electricity,=1 main source of energy used for cooking gas,=1 main source of energy used for cooking wood charcoal,=1 if rubbish disposal mainly by tanker truck,=1 if rubbish disposal mainly by botan hollow or buried,=1 if rubbish disposal mainly by burning,=1 if rubbish disposal mainly by throwing in an unoccupied space,=1 if rubbish disposal mainly other,=1 own and fully paid house,"=1 own, paying in installments",=1 rented,=1 precarious,"=1 other(assigned, borrowed)",=1 if the household has notebook or desktop computer,=1 if the household has TV,=1 region Central,=1 region Chorotega,=1 region PacÃƒÂ­fico central,=1 region Brunca,=1 region Huetar AtlÃƒÂ¡ntica,=1 region Huetar Norte,=1 zona urbana,Monthly rent payment,Dependency rate,years of education of male head of household,years of education of female head of household,average years of education for adults (18+),# persons per room, number of all rooms in the house,Males younger than 12 years of age,Males 12 years of age and older,Total males in the household,Females younger than 12 years of age,Females 12 years of age and older,Total females in the household,persons younger than 12 years of age,persons 12 years of age and older,number of tablets household owns,TamViv,household size,Number of children 0 to 19 in household,Number of adults in household,# of individuals 65+ in the household,number of bedrooms,# of mobile phones,electricity,electricity-missing,walls,roof,floor,no_essentials,luxury,phones-per-capita,tablets-per-capita,rooms-per-capita,rent-per-capita,owns a tablet-min,owns a tablet-sum,owns a tablet-count,owns a tablet-std,owns a tablet-range_,=1 if disable person-min,=1 if disable person-max,=1 if disable person-sum,=1 if female-min,=1 if female-max,=1 if female-sum,=1 if female-std,=1 if female-range_,=1 if less than 10 years old-min,=1 if less than 10 years old-max,=1 if less than 10 years old-sum,=1 if free or coupled uunion-min,=1 if free or coupled uunion-max,=1 if free or coupled uunion-std,=1 if married-min,=1 if married-max,=1 if married-std,=1 if divorced-min,=1 if divorced-max,=1 if separated-min,=1 if separated-max,=1 if separated-sum,=1 if widow/er-min,=1 if widow/er-max,=1 if single-min,=1 if single-max,=1 if single-sum,=1 if single-std,=1 if household head-min,=1 if household head-max,=1 if household head-std,=1 if spouse/partner-min,=1 if spouse/partner-max,=1 if son/doughter-min,=1 if son/doughter-max,=1 if son/doughter-sum,=1 if stepson/doughter-min,=1 if stepson/doughter-max,=1 if stepson/doughter-sum,=1 if son/doughter in law-min,=1 if son/doughter in law-max,=1 if grandson/doughter-min,=1 if grandson/doughter-max,=1 if grandson/doughter-sum,=1 if mother/father-min,=1 if mother/father-max,=1 if father/mother in law-min,=1 if father/mother in law-max,=1 if brother/sister-min,=1 if brother/sister-max,=1 if brother/sister-sum,=1 if brother/sister in law-min,=1 if brother/sister in law-max,=1 if brother/sister in law-sum,=1 if other family member-min,=1 if other family member-max,=1 if other family member-sum,=1 if other non family member-min,=1 if other non family member-max,=1 if other non family member-sum,=1 if mobile phone-min,=1 if mobile phone-std,=1 if mobile phone-range_,years of schooling-min,years of schooling-max,years of schooling-sum,years of schooling-std,years of schooling-range_,Age in years-min,Age in years-max,Age in years-sum,Age in years-std,Age in years-range_,max_edu-max,max_edu-std,max_edu-range_,schooling/age-min,schooling/age-max,schooling/age-sum,schooling/age-std,schooling/age-range_
0,21eb7fcc1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,190000.0,0.0,10.0,0.0,10.0,1.0,3,0,1,1,0,0,0,0,1,0.0,1,1,0,1,0,1,1,2.0,False,1,0,0,1,1,1.0,0.0,3.0,190000.0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,10,10,10,,0,43,43,43,,0,3,,0,0.23255813953488372,0.23255813953488372,0.23255813953488372,,0.0
1,0e5d7a658,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,135000.0,8.0,12.0,0.0,12.0,1.0,4,0,1,1,0,0,0,0,1,1.0,1,1,0,1,1,1,1,2.0,False,1,1,1,1,2,1.0,1.0,4.0,135000.0,1,1,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,12,12,12,,0,67,67,67,,0,7,,0,0.1791044776119403,0.1791044776119403,0.1791044776119403,,0.0
2,2c7317ea8,4,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,8.0,0.0,11.0,11.0,0.5,8,0,0,0,0,1,1,0,1,0.0,1,1,0,1,1,2,0,2.0,False,1,2,2,1,1,0.0,0.0,8.0,0.0,0,0,1,,0,1,1,1,1,1,1,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,11,11,,0,92,92,92,,0,4,,0,0.11956521739130435,0.11956521739130435,0.11956521739130435,,0.0
3,2b58d945f,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,180000.0,1.0,11.0,0.0,11.0,1.3333334,5,0,2,2,1,1,2,1,3,1.0,4,4,2,2,0,3,3,2.0,False,2,2,2,1,2,0.75,0.25,1.25,45000.0,1,4,4,0.0,0,0,0,0,0,1,2,0.5773502691896257,1,0,1,1,0,1,0.5773502691896257,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.5,0,1,0.5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,2,11,33,4.272001872658765,9,8,38,100,14.89966442575134,30,4,1.4142135623730951,3,0.25,0.5294117647058824,1.366182746213706,0.1269431492528365,0.27941176470588236
4,d6dae86b7,4,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,130000.0,1.0,9.0,0.0,10.0,4.0,2,0,1,1,2,1,3,2,2,0.0,4,4,2,2,0,1,1,2.0,False,0,0,1,1,1,0.25,0.0,0.5,32500.0,0,0,4,0.0,0,0,0,0,0,1,3,0.5,1,0,1,1,0,1,0.5773502691896257,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.5,0,1,0.5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,11,23,5.123475382979799,11,7,30,76,11.69045194450012,23,4,1.8257418583505538,4,0.0,0.39285714285714285,0.9655844155844155,0.1689463268598042,0.39285714285714285
5,bb2094100,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,100000.0,1.0,0.0,11.0,23.0,1.0,3,0,0,0,0,2,2,0,2,0.0,2,2,1,1,0,2,1,2.0,False,2,2,2,1,1,0.5,0.0,1.5,50000.0,0,0,2,0.0,0,0,0,0,1,1,2,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,1,1,0.7071067811865476,0,1,0.7071067811865476,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,11,12,23,0.7071067811865476,1,18,34,52,11.313708498984761,16,6,1.4142135623730951,2,0.3235294117647059,0.6666666666666666,0.9901960784313726,0.24263467981891335,0.34313725490196073
6,c51f9c774,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1.0,0.0,4.0,9.5,1.0,4,0,1,1,0,1,1,0,2,1.0,2,2,0,2,1,2,1,2.0,False,2,2,1,2,2,0.5,0.5,2.0,0.0,1,2,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,1,1,0.7071067811865476,0,1,0.7071067811865476,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,4,15,19,7.7781745930520225,11,39,79,118,28.284271247461902,40,7,4.242640687119285,6,0.05063291139240506,0.38461538461538464,0.4352482960077897,0.2361612716134234,0.3339824732229796
7,6893e65ca,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,90000.0,3.0,0.0,10.0,17.0,4.0,2,0,2,2,0,2,2,0,4,0.0,4,4,2,2,1,1,1,2.0,False,0,0,0,1,1,0.25,0.0,0.5,22500.0,0,0,4,0.0,0,0,0,0,0,1,2,0.5773502691896257,1,0,0,0,0,1,0.5773502691896257,0,0,0.0,0,0,0,1,1,0,0,0,1,1,0.5,0,1,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,2,11,34,4.358898943540674,9,19,70,158,25.03996805109783,51,4,1.4142135623730951,3,0.02857142857142857,0.5789473684210527,1.386466165413534,0.27725098759956907,0.5503759398496241
8,d29058053,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,215000.0,0.0,15.0,0.0,13.5,1.0,4,0,1,1,0,1,1,0,2,0.0,2,2,0,2,0,2,2,2.0,False,2,2,2,1,1,1.0,0.0,2.0,107500.0,0,0,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.7071067811865476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,12,15,27,2.1213203435596424,3,22,26,48,2.8284271247461903,4,7,0.7071067811865476,1,0.5454545454545454,0.5769230769230769,1.1223776223776223,0.02225161199538086,0.03146853146853146
9,ec0e8edce,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,150000.0,8.0,4.0,0.0,10.0,2.0,3,0,1,1,0,1,1,0,2,0.0,2,2,0,2,2,1,1,2.0,False,0,0,0,1,1,0.5,0.0,1.5,75000.0,0,0,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.7071067811865476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,4,16,20,8.48528137423857,12,66,69,135,2.1213203435596424,3,7,4.242640687119285,6,0.057971014492753624,0.24242424242424243,0.30039525691699603,0.13042812828210362,0.1844532279314888
